,date,03668_FD_STRAHL,03668_FG_STRAHL,03668_SD_STRAHL,05792_FD_STRAHL,05792_FG_STRAHL,05792_SD_STRAHL,Prog_in_MW,Act_in_MW,Bruttoleistung,Nettonennleistung,Bruttoleistung_kumulativ,Nettonennleistung_kumulativ
0,2023-01-01,253.0,308.0,2.3,181.0,662.0,7.8,59750.8,66402.6,7638.064,7052.714,18650929.064,17051732.714
1,2023-01-02,251.0,357.0,3.2,315.0,581.0,6.4,54349.6,57194.2,21244.711,19219.613,18672173.775,17070952.327
2,2023-01-03,213.0,394.0,4.3,262.0,263.0,0.0,30626.6,36114.8,6311.835,5687.815,18678485.61,17076640.142
3,2023-01-04,126.0,134.0,0.0,267.0,396.0,3.0,14734.7,21821.3,6880.479,6221.365,18685366.089,17082861.507
4,2023-01-05,250.0,336.0,1.7,204.0,229.0,0.0,22221.0,21564.3,6440.564,5826.238,18691806.653,17088687.745
5,2023-01-06,139.0,150.0,0.0,164.0,743.0,8.4,33937.6,44201.5,1266.275,1111.805,18693072.928,17089799.55
6,2023-01-07,179.0,231.0,1.8,121.0,738.0,7.6,43151.8,61036.7,1397.2450000000001,1272.695,18694470.173,17091072.245
7,2023-01-08,131.0,142.0,0.1,260.0,289.0,1.5,21640.2,23862.9,288.49,266.25,18694758.663,17091338.495
8,2023-01-09,141.0,151.0,0.0,231.0,239.0,0.0,20055.6,22507.5,21360.606,19281.665,18716119.269,17110620.16
9,2023-01-10,155.0,166.0,0.0,314.0,658.0,4.2,23533.1,23742.5,13610.981,12251.811,18729730.25,17122871.971
10,2023-01-11,109.0,115.0,0.0,297.0,370.0,2.0,16190.9,23671.3,10344.93,9325.211,18740075.18,17132197.182
11,2023-01-12,111.0,122.0,0.2,371.0,434.0,2.5,14377.3,26482.0,8631.195,7725.271,18748706.375,17139922.453
12,2023-01-13,141.0,172.0,0.6,282.0,299.0,0.5,25475.7,32839.1,7574.485,6774.295,18756280.86,17146696.748
13,2023-01-14,210.0,242.0,0.9,371.0,595.0,5.0,30408.6,44561.3,1200.595,1112.045,18757481.455,17147808.793
14,2023-01-15,115.0,124.0,0.1,235.0,235.0,0.0,19277.2,16466.5,855.204,760.459,18758336.659,17148569.252
15,2023-01-16,221.0,435.0,4.4,281.0,530.0,4.2,54851.0,75008.8,29812.45,27280.16,18788149.109,17175849.412
16,2023-01-17,195.0,471.0,4.7,335.0,426.0,2.3,66098.3,79408.0,15921.217999999999,13532.085,18804070.327,17189381.497
17,2023-01-18,109.0,116.0,0.0,413.0,599.0,3.2,41532.1,24399.2,16249.729,14039.589,18820320.056,17203421.086
18,2023-01-19,190.0,301.0,2.5,411.0,419.0,0.4,39271.8,34171.0,8312.035,7420.505,18828632.091,17210841.591
19,2023-01-20,208.0,228.0,0.0,515.0,515.0,0.0,30195.1,20090.6,7630.352,6648.825,18836262.443,17217490.416
20,2023-01-21,226.0,250.0,0.1,438.0,438.0,0.0,21001.1,11890.6,1509.535,1339.49,18837771.978,17218829.906
21,2023-01-22,185.0,201.0,0.0,372.0,857.0,6.7,13681.3,11061.9,170.285,142.15,18837942.263,17218972.056
22,2023-01-23,275.0,371.0,1.7,468.0,506.0,1.4,19490.8,19328.0,9313.435,8345.864,18847255.698,17227317.92
23,2023-01-24,145.0,155.0,0.0,347.0,711.0,6.5,26484.899999999998,19981.5,6432.03,5790.263,18853687.728,17233108.183
24,2023-01-25,79.0,85.0,0.0,136.0,972.0,9.1,27421.0,7178.9,9354.555,8501.592,18863042.283,17241609.775
25,2023-01-26,74.0,81.0,0.0,250.0,957.0,9.0,13532.2,6979.5,7027.997,6334.096,18870070.28,17247943.871
26,2023-01-27,231.0,251.0,0.0,430.0,718.0,4.1,18994.2,15191.7,5907.045,5374.255,18875977.325,17253318.126
27,2023-01-28,218.0,232.0,0.0,546.0,791.0,4.6,26416.0,14049.4,1333.465,1186.775,18877310.79,17254504.901
28,2023-01-29,366.0,429.0,1.5,265.0,977.0,7.9,52893.200000000004,31329.8,243.20499999999998,191.93,18877553.995,17254696.831
29,2023-01-30,131.0,143.0,0.1,375.0,751.0,4.3,19675.3,21964.7,16836.155,13933.205,18894390.15,17268630.036
30,2023-01-31,241.0,265.0,0.2,-999.0,813.0,5.5,19609.8,31116.2,26191.266,22406.535,18920581.416,17291036.571
31,2023-02-01,153.0,170.0,0.3,324.0,324.0,0.0,25625.399999999998,23000.3,12829.752,11610.131,18933411.168,17302646.702
32,2023-02-02,115.0,125.0,0.0,245.0,253.0,0.0,13615.6,11659.7,6089.204,5421.969,18939500.372,17308068.671
33,2023-02-03,101.0,110.0,0.0,486.0,515.0,1.4,14579.5,15629.1,5214.15,4623.07,18944714.522,17312691.741
34,2023-02-04,360.0,464.0,1.6,541.0,799.0,1.9,61427.8,80003.0,997.68,892.095,18945712.202,17313583.836
35,2023-02-05,242.0,302.0,0.8,466.0,716.0,3.7,53497.7,63838.0,4166.24,3382.085,18949878.442,17316965.921
36,2023-02-06,303.0,336.0,0.1,446.0,959.0,5.9,80456.7,55834.4,7016.95,6233.64,18956895.392,17323199.561
37,2023-02-07,162.0,994.0,9.3,147.0,1202.0,9.7,152911.6,145280.7,11602.19,9863.67,18968497.582,17333063.231
38,2023-02-08,178.0,986.0,9.3,157.0,1240.0,9.7,153428.6,160367.1,5674.885,5143.21,18974172.467,17338206.441
