,date,03668_FD_STRAHL,03668_FG_STRAHL,03668_SD_STRAHL,05792_FD_STRAHL,05792_FG_STRAHL,05792_SD_STRAHL
0,2015-01-01,188.0,188.0,0.0,0.0,694.0,8.4
1,2015-01-02,76.0,76.0,0.0,0.0,383.0,2.8
2,2015-01-03,108.0,108.0,0.0,0.0,343.0,1.2
3,2015-01-04,232.0,233.0,0.0,0.0,252.0,0.0
4,2015-01-05,157.0,485.0,6.2,0.0,591.0,2.9
5,2015-01-06,213.0,544.0,5.5,0.0,748.0,7.7
6,2015-01-07,111.0,111.0,0.0,0.0,749.0,7.0
7,2015-01-08,132.0,132.0,0.0,0.0,376.0,0.6
8,2015-01-09,73.0,73.0,0.0,0.0,214.0,0.0
9,2015-01-10,183.0,192.0,0.3,0.0,651.0,6.7
10,2015-01-11,234.0,272.0,1.2,0.0,288.0,0.1
11,2015-01-12,79.0,79.0,0.0,0.0,446.0,1.7
12,2015-01-13,105.0,555.0,8.1,0.0,792.0,8.4
13,2015-01-14,198.0,200.0,0.1,0.0,229.0,0.1
14,2015-01-15,150.0,150.0,0.0,0.0,338.0,2.0
15,2015-01-16,247.0,271.0,0.6,0.0,454.0,3.0
16,2015-01-17,147.0,147.0,0.0,0.0,323.0,0.0
17,2015-01-18,266.0,465.0,4.2,0.0,860.0,8.7
18,2015-01-19,291.0,342.0,1.3,0.0,762.0,7.9
19,2015-01-20,180.0,180.0,0.0,0.0,623.0,2.3
20,2015-01-21,153.0,153.0,0.0,0.0,728.0,5.4
21,2015-01-22,131.0,131.0,0.0,0.0,758.0,6.1
22,2015-01-23,79.0,79.0,0.0,0.0,517.0,0.0
23,2015-01-24,116.0,116.0,0.0,0.0,806.0,5.2
24,2015-01-25,320.0,322.0,0.0,0.0,429.0,0.1
25,2015-01-26,163.0,163.0,0.0,0.0,986.0,8.2
26,2015-01-27,199.0,202.0,0.3,0.0,327.0,0.0
27,2015-01-28,242.0,246.0,0.1,0.0,979.0,6.6
28,2015-01-29,356.0,404.0,1.7,0.0,546.0,0.3
29,2015-01-30,311.0,331.0,0.5,0.0,352.0,0.0
30,2015-01-31,212.0,216.0,0.1,0.0,1047.0,6.8
31,2015-02-01,223.0,229.0,0.1,-999.0,696.0,1.4
32,2015-02-02,365.0,429.0,1.5,-999.0,477.0,0.3
33,2015-02-03,505.0,564.0,1.6,-999.0,950.0,8.6
34,2015-02-04,293.0,339.0,0.5,-999.0,1022.0,8.3
35,2015-02-05,306.0,398.0,1.2,-999.0,748.0,1.2
36,2015-02-06,295.0,752.0,6.1,-999.0,935.0,3.8
37,2015-02-07,245.0,875.0,8.5,-999.0,1202.0,9.9
38,2015-02-08,359.0,523.0,2.4,-999.0,352.0,0.0
39,2015-02-09,179.0,179.0,0.0,-999.0,544.0,0.0
