Datum;Startzeit;Endzeit;"Prognostiziert in MW";"Tatsaechlich in MW"
2023-01-01;00:00:00;00:15:00;0;0
2023-01-01;00:15:00;00:30:00;0;0
2023-01-01;00:30:00;00:45:00;0;0
2023-01-01;00:45:00;01:00:00;0;0
2023-01-01;01:00:00;01:15:00;0;0
2023-01-01;01:15:00;01:30:00;0;0
2023-01-01;01:30:00;01:45:00;0;0
2023-01-01;01:45:00;02:00:00;0;0
2023-01-01;02:00:00;02:15:00;0;0
2023-01-01;02:15:00;02:30:00;0;0
2023-01-01;02:30:00;02:45:00;0;0
2023-01-01;02:45:00;03:00:00;0;0
2023-01-01;03:00:00;03:15:00;0;0
2023-01-01;03:15:00;03:30:00;0;0
2023-01-01;03:30:00;03:45:00;0;0
2023-01-01;03:45:00;04:00:00;0;0
2023-01-01;04:00:00;04:15:00;0;0
2023-01-01;04:15:00;04:30:00;0;0
2023-01-01;04:30:00;04:45:00;0;0
2023-01-01;04:45:00;05:00:00;0;0
2023-01-01;05:00:00;05:15:00;0;0
2023-01-01;05:15:00;05:30:00;0;0
2023-01-01;05:30:00;05:45:00;0;0
2023-01-01;05:45:00;06:00:00;0;0
2023-01-01;06:00:00;06:15:00;0;0
2023-01-01;06:15:00;06:30:00;0;0
2023-01-01;06:30:00;06:45:00;0;0
2023-01-01;06:45:00;07:00:00;0;0
2023-01-01;07:00:00;07:15:00;0;0
2023-01-01;07:15:00;07:30:00;0;0
2023-01-01;07:30:00;07:45:00;18,9;0
2023-01-01;07:45:00;08:00:00;66;,4
2023-01-01;08:00:00;08:15:00;133;5,3
2023-01-01;08:15:00;08:30:00;236,7;56,9
2023-01-01;08:30:00;08:45:00;419,4;278,1
2023-01-01;08:45:00;09:00:00;688,1;632,8
2023-01-01;09:00:00;09:15:00;982,8;979,9
2023-01-01;09:15:00;09:30:00;1287,7;1297,7
2023-01-01;09:30:00;09:45:00;1584,9;1603,8
2023-01-01;09:45:00;10:00:00;1876,2;1894,7
2023-01-01;10:00:00;10:15:00;2155,3;2219,9
2023-01-01;10:15:00;10:30:00;2411,8;2502,8
2023-01-01;10:30:00;10:45:00;2636,7;2748,4
2023-01-01;10:45:00;11:00:00;2832,1;2924,9
2023-01-01;11:00:00;11:15:00;2991,8;3108,7
2023-01-01;11:15:00;11:30:00;3111,4;3261,5
2023-01-01;11:30:00;11:45:00;3175,8;3368,6
2023-01-01;11:45:00;12:00:00;3208,1;3467,2
2023-01-01;12:00:00;12:15:00;3221,5;3474,6
2023-01-01;12:15:00;12:30:00;3191,4;3476,3
2023-01-01;12:30:00;12:45:00;3110,5;3425,6
2023-01-01;12:45:00;13:00:00;2984,4;3309,7
2023-01-01;13:00:00;13:15:00;2817,7;3226,9
2023-01-01;13:15:00;13:30:00;2619;3079,6
2023-01-01;13:30:00;13:45:00;2395,5;2827,8
2023-01-01;13:45:00;14:00:00;2137;2572,9
2023-01-01;14:00:00;14:15:00;1851,6;2318,8
2023-01-01;14:15:00;14:30:00;1556,8;2054,7
2023-01-01;14:30:00;14:45:00;1270;1744
2023-01-01;14:45:00;15:00:00;990,7;1467,2
2023-01-01;15:00:00;15:15:00;730,3;1181,8
2023-01-01;15:15:00;15:30:00;503,3;880
2023-01-01;15:30:00;15:45:00;317,6;584
2023-01-01;15:45:00;16:00:00;166,2;300,1
2023-01-01;16:00:00;16:15:00;58,8;107,3
2023-01-01;16:15:00;16:30:00;11,8;18,5
2023-01-01;16:30:00;16:45:00;0;1,1
2023-01-01;16:45:00;17:00:00;0;,1
2023-01-01;17:00:00;17:15:00;0;0
2023-01-01;17:15:00;17:30:00;0;0
2023-01-01;17:30:00;17:45:00;0;0
2023-01-01;17:45:00;18:00:00;0;0
2023-01-01;18:00:00;18:15:00;0;0
2023-01-01;18:15:00;18:30:00;0;0
2023-01-01;18:30:00;18:45:00;0;0
2023-01-01;18:45:00;19:00:00;0;0
2023-01-01;19:00:00;19:15:00;0;0
2023-01-01;19:15:00;19:30:00;0;0
2023-01-01;19:30:00;19:45:00;0;0
2023-01-01;19:45:00;20:00:00;0;0
2023-01-01;20:00:00;20:15:00;0;0
2023-01-01;20:15:00;20:30:00;0;0
2023-01-01;20:30:00;20:45:00;0;0
2023-01-01;20:45:00;21:00:00;0;0
2023-01-01;21:00:00;21:15:00;0;0
2023-01-01;21:15:00;21:30:00;0;0
2023-01-01;21:30:00;21:45:00;0;0
2023-01-01;21:45:00;22:00:00;0;0
2023-01-01;22:00:00;22:15:00;0;0
2023-01-01;22:15:00;22:30:00;0;0
2023-01-01;22:30:00;22:45:00;0;0
2023-01-01;22:45:00;23:00:00;0;0
2023-01-01;23:00:00;23:15:00;0;0
2023-01-01;23:15:00;23:30:00;0;0
2023-01-01;23:30:00;23:45:00;0;0
2023-01-01;23:45:00;24:00:00;0;0
2023-01-02;00:00:00;00:15:00;0;0
2023-01-02;00:15:00;00:30:00;0;0
2023-01-02;00:30:00;00:45:00;0;0
2023-01-02;00:45:00;01:00:00;0;0
2023-01-02;01:00:00;01:15:00;0;0
2023-01-02;01:15:00;01:30:00;0;0
2023-01-02;01:30:00;01:45:00;0;0
2023-01-02;01:45:00;02:00:00;0;0
2023-01-02;02:00:00;02:15:00;0;0
2023-01-02;02:15:00;02:30:00;0;0
2023-01-02;02:30:00;02:45:00;0;0
2023-01-02;02:45:00;03:00:00;0;0
2023-01-02;03:00:00;03:15:00;0;0
2023-01-02;03:15:00;03:30:00;0;0
2023-01-02;03:30:00;03:45:00;0;0
2023-01-02;03:45:00;04:00:00;0;0
2023-01-02;04:00:00;04:15:00;0;0
2023-01-02;04:15:00;04:30:00;0;0
2023-01-02;04:30:00;04:45:00;0;0
2023-01-02;04:45:00;05:00:00;0;0
2023-01-02;05:00:00;05:15:00;0;0
2023-01-02;05:15:00;05:30:00;0;0
2023-01-02;05:30:00;05:45:00;0;0
2023-01-02;05:45:00;06:00:00;0;0
2023-01-02;06:00:00;06:15:00;0;0
2023-01-02;06:15:00;06:30:00;0;0
2023-01-02;06:30:00;06:45:00;0;0
2023-01-02;06:45:00;07:00:00;0;0
2023-01-02;07:00:00;07:15:00;0;0
2023-01-02;07:15:00;07:30:00;0;0
2023-01-02;07:30:00;07:45:00;14,1;0
2023-01-02;07:45:00;08:00:00;50,8;,4
2023-01-02;08:00:00;08:15:00;102,7;4,9
2023-01-02;08:15:00;08:30:00;189,8;60,7
2023-01-02;08:30:00;08:45:00;355,8;271,9
2023-01-02;08:45:00;09:00:00;608,4;579,7
2023-01-02;09:00:00;09:15:00;885,3;920,5
2023-01-02;09:15:00;09:30:00;1173,7;1255,2
2023-01-02;09:30:00;09:45:00;1457;1566,3
2023-01-02;09:45:00;10:00:00;1734,9;1874,3
2023-01-02;10:00:00;10:15:00;1999,4;2150,5
2023-01-02;10:15:00;10:30:00;2240;2434,9
2023-01-02;10:30:00;10:45:00;2452,6;2713,5
2023-01-02;10:45:00;11:00:00;2637,7;2929,4
2023-01-02;11:00:00;11:15:00;2790,2;3156,8
